Gene_a	Celltype_a	Gene_b	Celltype_b
FB	COL12A1	FB	ITGA1	
FB	COL12A1	FB	ITGA11	
FB	COL12A1	FB	ITGB1	
FB	COL12A1	HFC	ITGA2	
FB	COL12A1	HFC	ITGB1	
FB	COL12A1	KC	ITGA2	
FB	COL12A1	KC	ITGB1	
FB	COL12A1	Channel	ITGA2	
FB	COL12A1	Channel	ITGB1	
FB	COL12A1	LC	ITGA10	
FB	COL12A1	LC	ITGB1	
FB	COL12A1	LEC	ITGA1	
FB	COL12A1	LEC	ITGA2	
FB	COL12A1	LEC	ITGB1	
FB	COL12A1	Lymphocyte	ITGA1	
FB	COL12A1	Lymphocyte	ITGB1	
FB	COL12A1	MEC	ITGA1	
FB	COL12A1	MEC	ITGA11	
FB	COL12A1	MEC	ITGA2	
FB	COL12A1	MEC	ITGB1	
FB	COL12A1	MEL	ITGA2	
FB	COL12A1	MEL	ITGB1	
FB	COL12A1	Pc	ITGA1	
FB	COL12A1	Pc	ITGB1	
FB	COL12A1	SGC	ITGA2	
FB	COL12A1	SGC	ITGB1	
FB	COL12A1	Schwann	ITGA1	
FB	COL12A1	Schwann	ITGA2	
FB	COL12A1	Schwann	ITGB1	
FB	COL12A1	Sebocyte	ITGA2	
FB	COL12A1	Sebocyte	ITGB1	
FB	COL12A1	VEC	ITGA1	
FB	COL12A1	VEC	ITGA10	
FB	COL12A1	VEC	ITGA2	
FB	COL12A1	VEC	ITGB1	
FB	COL13A1	FB	ITGA1	
FB	COL13A1	FB	ITGA11	
FB	COL13A1	FB	ITGB1	
FB	COL13A1	HFC	ITGA2	
FB	COL13A1	HFC	ITGB1	
FB	COL13A1	KC	ITGA2	
FB	COL13A1	KC	ITGB1	
FB	COL13A1	Channel	ITGA2	
FB	COL13A1	Channel	ITGB1	
FB	COL13A1	LC	ITGA10	
FB	COL13A1	LC	ITGB1	
FB	COL13A1	LEC	ITGA1	
FB	COL13A1	LEC	ITGB1	
FB	COL13A1	Lymphocyte	ITGA1	
FB	COL13A1	Lymphocyte	ITGB1	
FB	COL13A1	MEC	ITGA1	
FB	COL13A1	MEC	ITGA11	
FB	COL13A1	MEC	ITGA2	
FB	COL13A1	MEC	ITGB1	
FB	COL13A1	Pc	ITGA1	
